,Country.Name,Country.Code,Year,GDP per capita (current US$),Gini index,"Unemployment, total (% of total labor force) (national estimate)","Inflation, consumer prices (annual %)",Exports of goods and services (% of GDP),Gross capital formation (% of GDP),"Life expectancy at birth, total (years)","School enrollment, tertiary (% gross)",Current health expenditure per capita (current US$),Population growth (annual %),Access to electricity (% of population),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),Urban population (% of total population)
83,Italy,ITA,2003,27618.94177,34.9,8.869,2.672555528,23.22404969,21.5802502,79.98292683,60.00558853,2163,0.444507313,100,29.04,98.85908053,67.501
84,Italy,ITA,2004,31425.82087,34.3,7.866,2.206736614,23.92684095,21.64200489,80.7804878,63.33272934,2566,0.647182705,100,33.24,108.4501955,67.62
85,Italy,ITA,2005,32171.79337,33.8,7.731,1.985292985,24.51185336,21.52602165,80.78292683,65.32702637,2678,0.491389108,100,35,122.8524954,67.738
86,Italy,ITA,2006,33684.72004,33.7,6.777,2.09084391,26.05306282,22.36036958,81.28292683,67.2835083,2833,0.300559689,100,37.99,137.6315822,67.856
87,Italy,ITA,2007,38031.97095,32.9,6.076,1.829741122,27.24505454,22.62007277,81.43414634,68.87259674,3093,0.504933687,100,40.79,152.7786988,67.974
88,Italy,ITA,2008,41095.40634,33.8,6.723,3.347832584,26.7427616,22.03877573,81.48536585,67.57998657,3504,0.662469253,100,44.53,152.5406123,68.092
89,Italy,ITA,2009,37388.45371,33.8,7.749,0.774768131,22.2771596,19.70237739,81.63658537,66.95162964,3338,0.45561345,100,48.83,151.1561311,68.209
90,Italy,ITA,2010,36184.71187,34.7,8.363,1.525516021,24.91865142,20.79697161,82.03658537,65.37904358,3218,0.307591222,100,53.68,156.5734737,68.327
91,Italy,ITA,2011,38851.38813,35.1,8.359,2.780632729,26.56298665,20.6773631,82.18780488,64.24925232,3392,0.171978291,100,54.39,159.9989834,68.444
92,Italy,ITA,2012,35235.79891,35.2,10.655,3.041363332,27.98518708,17.96980645,82.23902439,62.34474182,3086,0.26954124,100,55.83,161.4693276,68.684
93,Italy,ITA,2013,35747.70795,34.9,12.149,1.219993423,28.17744241,17.00622238,82.6902439,60.89252853,3149,1.159251117,100,58.4593,160.6017791,68.979
94,Italy,ITA,2014,35750.71975,34.7,12.683,0.24104743,28.62240274,17.0766736,83.0902439,60.88314819,3154,0.917504096,100,55.6385,149.0557814,69.272
95,Italy,ITA,2015,30387.12932,35.4,11.896,0.0387904,29.14411105,17.28131749,82.54390244,60.94129181,2676,-0.096376133,100,58.1417,145.5869288,69.565
96,Italy,ITA,2016,31126.32469,35.2,11.688,-0.094016657,28.79874889,17.71186399,83.24390244,61.35710144,2700,-0.169884073,100,61.3243,142.9771615,69.855
97,Italy,ITA,2017,32554.14668,35.9,11.211,1.226533166,30.13988592,18.16942229,82.94634146,62.69580078,2810,-0.149861117,100,63.0773,139.776512,70.144
98,Italy,ITA,2018,34746.34414,35.2,10.61,1.137487636,30.81350727,18.66087161,83.34634146,64.47532654,3003,-0.19006364,100,74.3872,139.1884938,70.438
99,Italy,ITA,2019,33812.78872,34.6,9.952,0.611246944,30.94987392,18.36413153,83.49756098,65.68950653,2911,-1.153028424,100,67.8507,133.0713342,70.736
100,Italy,ITA,2020,32091.48666,35.2,9.164,-0.137707574,28.72585519,17.89868683,82.19512195,68.72310638,3062,-0.487095092,100,70.4834,130.3870472,71.039
101,Italy,ITA,2021,36852.54254,34.8,9.497,1.873783258,31.17160886,22.00113823,82.64634146,71.27452087,3350,-0.515599999,100,74.8623,131.86107,71.346
102,Japan,JPN,2013,40898.6479,32.9,4.038,0.335037912,15.78415673,24.41762404,83.33195122,62.83818817,4358,-0.144271883,100,88.2194,115.827725,91.226
103,"Korea, Rep.",KOR,2006,21743.47745,31.7,3.254,2.242340285,35.62641862,32.99330799,78.66829268,99.9493103,1062.198364,0.52519994,100,78.1,83.65798395,81.528
104,"Korea, Rep.",KOR,2008,21350.42798,32.3,2.959,4.673896555,47.64188521,33.6668294,79.51707317,103.1361771,1137.209106,0.759316682,100,81,94.23198088,81.733
105,"Korea, Rep.",KOR,2010,23079.26013,32,3.324,2.939286527,47.10373691,32.55211358,80.11707317,101.6732864,1363.560913,0.498225084,100,83.7,104.0034362,81.936
106,"Korea, Rep.",KOR,2012,25459.1689,31.6,2.812,2.187071044,54.09405134,31.31664675,80.8195122,98.28697968,1553.328247,0.525713661,100,84.07,108.0393019,81.851
107,"Korea, Rep.",KOR,2014,29252.93124,31.2,3.082,1.274774464,47.83142087,29.79047863,81.72195122,94.44216919,1880.442017,0.628149861,100,87.5568,113.3160079,81.707
108,"Korea, Rep.",KOR,2016,29280.44032,35.2,3.65,0.97168574,40.13265091,30.1426786,82.27560976,93.65772247,2008.098267,0.396851823,100,92.843,119.46123,81.562
